"Symbol","LTP","STOCK VAL.","FREE QTY","AVAIL QTY"
"ADANI ENTERPRISES LIMITED EQ NEW FV RE.1/-","3038.00","713930.00","235.00","235.00"
"ADANI GREEN ENERGY LIMITED EQ","1526.10","457830.00","300.00","300.00"
"ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED EQ NEW RS. 2/-","1796.00","942900.00","525.00","525.00"
"ALLCARGO LOGISTICS LIMITED EQ NEW","8.15","57050.00","7000.00","7000.00"
"AMBUJA CEMENTS LIMITED EQ NEW FV RS. 2/-","423.75","233062.50","550.00","550.00"
"ASTRA MICROWAVE PRODUCTS LIMITED EQ NEW FV RS.2/-","1721.70","688680.00","400.00","400.00"
"ASTRAL LIMITED EQ NEW FV RE. 1/-","1486.90","312249.00","210.00","210.00"
"BAJAJ FINANCE LIMITED EQ NEW FV RE.1/-","980.40","490200.00","500.00","500.00"
"BALRAMPUR CHINI MILLS LIMITED EQ NEW FV 1/-","534.20","13355.00","25.00","25.00"
"BRIGADE ENTERPRISES LIMITED EQ","525.20","139703.20","266.00","266.00"
"C.E. INFO SYSTEMS LIMITED EQ NEW FV RS.2/-","840.65","151317.00","180.00","180.00"
"CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED EQ NEW FV RE.1/-","1352.10","33802.50","25.00","25.00"
"COFORGE LIMITED EQ NEW FV Rs.2/-","1492.90","350831.50","235.00","235.00"
"DELHIVERY LIMITED EQ NEW FV RE.1/-","464.80","790160.00","1700.00","1700.00"
"DIVI'S LABORATORIES LIMITED EQ NEW RS. 2/-","6713.50","167837.50","25.00","25.00"
"DLF LIMITED EQ NEW FV RS.2/-","621.35","621350.00","1000.00","1000.00"
"DYNAMATIC TECHNOLOGIES LIMITED EQ","10232.00","51160.00","5.00","5.00"
"EMBASSY OFFICE PARKS REIT REIT","428.26","513912.00","1200.00","1200.00"
"GUJARAT PIPAVAV PORT LIMITED EQ","153.81","384525.00","2500.00","2500.00"
"HDB FINANCIAL SERVICES LIMITED EQ","743.55","275113.50","370.00","370.00"
"HDFC ASSET MANAGEMENT COMPANY LIMITED EQ NEW FV RS. 5/-","2649.70","185479.00","70.00","70.00"
"HDFC BANK LIMITED EQ NEW FV RE. 1/-","796.30","1274080.00","1600.00","1600.00"
"HDFC LIFE INSURANCE COMPANY LIMITED EQ","585.45","219543.75","375.00","375.00"
"HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED EQ","208.27","343645.50","1650.00","1650.00"
