family,a,b,accuracy_a,accuracy_b,only_a_correct,only_b_correct,discordant,statistic,p_value,holm_p,significant_at_alpha,holm_p_all_11,favours,method
budget against budget,k5,k10,0.8036575194776134,0.8188327671433512,872,1618,2490,222.90160642570282,2.106141949222383e-50,1.0530709746111915e-49,True,1.6849135593779063e-49,k10,chi-square with continuity correction
budget against budget,k5,k25,0.8036575194776134,0.8264610752863158,1503,2624,4127,303.9496001938454,4.542604549481723e-68,2.7255627296890338e-67,True,4.542604549481723e-67,k25,chi-square with continuity correction
budget against budget,k5,k50,0.8036575194776134,0.8196667955003153,3183,3970,7153,86.36879630924088,1.4932251351979558e-20,5.972900540791823e-20,True,1.0452575946385691e-19,k50,chi-square with continuity correction
budget against budget,k10,k25,0.8188327671433512,0.8264610752863158,1375,1750,3125,44.76032,2.2269012905291045e-11,6.680703871587313e-11,True,1.3361407743174626e-10,k25,chi-square with continuity correction
budget against budget,k10,k50,0.8188327671433512,0.8196667955003153,2996,3037,6033,0.26520802254268194,0.6065645383842371,0.6065645383842371,False,0.6065645383842371,k50,chi-square with continuity correction
budget against budget,k25,k50,0.8264610752863158,0.8196667955003153,2542,2208,4750,23.345052631578948,1.3539129707062204e-06,2.707825941412441e-06,True,6.769564853531102e-06,k25,chi-square with continuity correction
parent against intervention,sequence_cnn_lstm_19class,class_weighted_loss,0.8196667955003153,0.7055676478366119,9081,3472,12553,2505.350434159165,0.0,0.0,True,0.0,sequence_cnn_lstm_19class,chi-square with continuity correction
parent against intervention,sequence_cnn_lstm_19class,focal_loss,0.8196667955003153,0.8213348522142436,2011,2093,4104,1.5986842105263157,0.2060897769851356,0.2060897769851356,False,0.4121795539702712,focal_loss,chi-square with continuity correction
parent against intervention,sequence_cnn_lstm_19class,logit_adjustment,0.8196667955003153,0.8149677576842491,2380,2149,4529,11.680282623095605,0.0006316593724841605,0.0018949781174524816,True,0.002526637489936642,sequence_cnn_lstm_19class,chi-square with continuity correction
parent against intervention,sequence_cnn_lstm_19class,threshold_tuning,0.8196667955003153,0.8168392359486564,2694,2555,5249,3.6281196418365402,0.05681096894475897,0.11362193788951794,False,0.17043290683427692,sequence_cnn_lstm_19class,chi-square with continuity correction
parent against intervention,sequence_cnn_lstm_19class,window_resampling,0.8196667955003153,0.8392562908114486,1115,2078,3193,289.83526464140306,5.400707951265573e-65,2.1602831805062292e-64,True,4.860637156139016e-64,window_resampling,chi-square with continuity correction
