class,group,reported_as,best_f1,f1_at_50,reaches_then_falls,thin
MQTT-Malformed_Data,low-rate,25,0.9066666666666666,0.8421052631578947,False,True
Recon-Port_Scan,low-rate,5,0.9300911854103343,0.9300911854103343,False,False
Recon-OS_Scan,low-rate,> 50,0.6105263157894737,0.6060606060606061,False,False
Recon-VulScan,low-rate,> 50,0.5384615384615384,0.5384615384615384,False,True
Spoofing,low-rate,> 50,0.7941176470588235,0.7653061224489796,False,False
Benign,neither,5,0.9808102345415778,0.9808102345415778,False,False
MQTT-DDoS-Connect_Flood,neither,5,0.9996119518820333,0.9996119518820333,False,False
MQTT-DoS-Connect_Flood,neither,5,1.0,0.9740932642487047,False,False
Recon-Ping_Sweep,neither,25,0.8571428571428571,0.0,True,True
MQTT-DDoS-Publish_Flood,neither,> 50,0.08888888888888889,0.07964601769911504,False,False
MQTT-DoS-Publish_Flood,neither,> 50,0.7550776583034647,0.7550776583034647,False,False
DDoS-SYN,volumetric,5,0.9449339207048458,0.8926425895823026,False,False
DDoS-TCP,volumetric,5,0.8171582425651696,0.8137235644601585,False,False
DDoS-UDP,volumetric,5,0.9880606647305582,0.9880606647305582,False,False
DoS-SYN,volumetric,5,0.9072575625544629,0.802348858935006,False,False
DoS-UDP,volumetric,5,0.9879604672057503,0.9879604672057503,False,False
DDoS-ICMP,volumetric,> 50,0.7998363506187992,0.7720830026080054,False,False
DoS-ICMP,volumetric,> 50,0.31782682512733446,0.31782682512733446,False,False
DoS-TCP,volumetric,> 50,0.5161399932042134,0.5161399932042134,False,False
