class,group,best_f1,best_at_k,saturates_at_k,f1_there,usable_there,thin
MQTT-DDoS-Connect_Flood,neither,0.9996119518820333,50,5,0.997289972899729,True,False
MQTT-DoS-Connect_Flood,neither,1.0,5,5,1.0,True,False
MQTT-DoS-Publish_Flood,neither,0.7550776583034647,10,5,0.7488151658767772,False,False
DDoS-ICMP,volumetric,0.7998363506187992,5,5,0.7998363506187992,False,False
DDoS-SYN,volumetric,0.9449339207048458,5,5,0.9449339207048458,True,False
DDoS-TCP,volumetric,0.8171582425651696,25,5,0.8131664348632359,True,False
DoS-SYN,volumetric,0.9072575625544629,5,5,0.9072575625544629,True,False
Spoofing,low-rate,0.7941176470588235,10,10,0.7941176470588235,False,False
Benign,neither,0.9808102345415778,50,10,0.9754535752401281,True,False
MQTT-DDoS-Publish_Flood,neither,0.08888888888888889,10,10,0.08888888888888889,False,False
MQTT-Malformed_Data,low-rate,0.9066666666666666,25,25,0.9066666666666666,True,True
Recon-OS_Scan,low-rate,0.6105263157894737,25,25,0.6105263157894737,False,False
Recon-Ping_Sweep,neither,0.8571428571428571,25,25,0.8571428571428571,True,True
DDoS-UDP,volumetric,0.9880606647305582,50,25,0.9815248083904801,True,False
DoS-UDP,volumetric,0.9879604672057503,50,25,0.980504896235738,True,False
Recon-Port_Scan,low-rate,0.9300911854103343,50,50,0.9300911854103343,True,False
Recon-VulScan,low-rate,0.5384615384615384,50,50,0.5384615384615384,False,True
DoS-ICMP,volumetric,0.31782682512733446,50,50,0.31782682512733446,False,False
DoS-TCP,volumetric,0.5161399932042134,50,50,0.5161399932042134,False,False
