,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,1.0,0.9999095,0.9984915,0.99736425,0.99794675,0.998746625,0.99597825,0.99611025,0.994639,0.99819775,0.9274705,0.99925475,0.90503075,0.8437693749999999,0.9800595,0.9947024838012959,0.967261875,0.932640375,0.7957955
DDoS-ICMP,0.9999095,1.0,0.9999995,0.99999925,0.99999975,0.99900125,0.99999875,0.9999985,1.0,1.0,0.999998625,1.0,0.999998875,0.99995675,0.999959875,0.9997005939524838,0.9999985,0.999747375,0.999749
DDoS-SYN,0.9984915,0.9999995,1.0,0.999203125,1.0,0.999744625,0.9985005,0.99974825,0.99999525,1.0,0.997999375,0.999898625,0.99849775,0.998206625,0.957217625,0.9993663606911447,0.94622425,0.906093125,0.99837475
DDoS-TCP,0.99736425,0.99999925,0.999203125,1.0,0.99999825,0.999699875,0.999001,1.0,0.9999535,1.0,0.999508,0.999967625,1.0,0.999903875,0.974675875,0.9861371490280777,0.972917375,0.926349625,0.996044
DDoS-UDP,0.99794675,0.99999975,1.0,0.99999825,1.0,0.99999825,0.999999375,1.0,0.999,1.0,1.0,1.0,1.0,0.999978625,0.99997975,0.9999481641468683,0.99953075,0.9987645,0.99854925
DoS-ICMP,0.998746625,0.99900125,0.999744625,0.999699875,0.99999825,1.0,0.999671375,0.999707875,0.999995625,1.0,0.999742,0.999999875,0.999742875,0.9994915,0.999499875,0.9985380669546436,0.99875,0.998738375,0.9987455
DoS-SYN,0.99597825,0.99999875,0.9985005,0.999001,0.999999375,0.999671375,1.0,0.999242125,0.999916625,1.0,0.9967885,0.998966375,0.997700375,0.9944,0.920078375,0.9990180885529157,0.943351875,0.943137625,0.9960125
DoS-TCP,0.99611025,0.9999985,0.99974825,1.0,1.0,0.999707875,0.999242125,1.0,1.0,0.999999125,0.999053875,1.0,0.99974675,0.999546125,0.97159325,0.9855523758099352,0.969467,0.923118,0.9956025
DoS-UDP,0.994639,1.0,0.99999525,0.9999535,0.999,0.999995625,0.999916625,1.0,1.0,1.0,0.99999425,1.0,0.999995,0.99989325,0.9999035,0.9999546436285097,0.99894975,0.997945,0.99552825
MQTT-DDoS-Connect_Flood,0.99819775,1.0,1.0,1.0,1.0,1.0,1.0,0.999999125,1.0,1.0,0.99647,0.997504,1.0,0.954772625,0.9927345,0.9994230561555075,0.999921875,0.99262425,0.997282875
MQTT-DDoS-Publish_Flood,0.9274705,0.999998625,0.997999375,0.999508,1.0,0.999742,0.9967885,0.999053875,0.99999425,0.99647,1.0,0.994514,0.99302725,0.81818275,0.98799675,0.985655777537797,0.98081875,0.9096695,0.825621125
MQTT-DoS-Connect_Flood,0.99925475,1.0,0.999898625,0.999967625,1.0,0.999999875,0.998966375,1.0,1.0,0.997504,0.994514,1.0,1.0,0.95736625,0.985518125,0.9999254859611231,0.99803525,0.99253525,0.998335125
MQTT-DoS-Publish_Flood,0.90503075,0.999998875,0.99849775,1.0,1.0,0.999742875,0.997700375,0.99974675,0.999995,1.0,0.99302725,1.0,1.0,0.85030175,0.99041375,0.9923652807775378,0.985261625,0.933802875,0.87301825
MQTT-Malformed_Data,0.8437693749999999,0.99995675,0.998206625,0.999903875,0.999978625,0.9994915,0.9944,0.999546125,0.99989325,0.954772625,0.81818275,0.95736625,0.85030175,1.0,0.93923925,0.9481573974082074,0.983295125,0.926456875,0.793405625
Recon-OS_Scan,0.9800595,0.999959875,0.957217625,0.974675875,0.99997975,0.999499875,0.920078375,0.97159325,0.9999035,0.9927345,0.98799675,0.985518125,0.99041375,0.93923925,1.0,0.9297904967602592,0.6585125000000001,0.739492125,0.960160375
Recon-Ping_Sweep,0.9947024838012959,0.9997005939524838,0.9993663606911447,0.9861371490280777,0.9999481641468683,0.9985380669546436,0.9990180885529157,0.9855523758099352,0.9999546436285097,0.9994230561555075,0.985655777537797,0.9999254859611231,0.9923652807775378,0.9481573974082074,0.9297904967602592,1.0,0.9679082073434125,0.9356544276457883,0.9791266198704104
Recon-Port_Scan,0.967261875,0.9999985,0.94622425,0.972917375,0.99953075,0.99875,0.943351875,0.969467,0.99894975,0.999921875,0.98081875,0.99803525,0.985261625,0.983295125,0.6585125000000001,0.9679082073434125,1.0,0.739389375,0.967422875
Recon-VulScan,0.932640375,0.999747375,0.906093125,0.926349625,0.9987645,0.998738375,0.943137625,0.923118,0.997945,0.99262425,0.9096695,0.99253525,0.933802875,0.926456875,0.739492125,0.9356544276457883,0.739389375,1.0,0.8708335
Spoofing,0.7957955,0.999749,0.99837475,0.996044,0.99854925,0.9987455,0.9960125,0.9956025,0.99552825,0.997282875,0.825621125,0.998335125,0.87301825,0.793405625,0.960160375,0.9791266198704104,0.967422875,0.8708335,1.0
