class_a,class_b,group_a,group_b,same_family,tier_a,tier_b,rows_a,rows_b,best_feature,best_auc,runner_up_feature,runner_up_auc,median_auc_over_features
Recon-OS_Scan,Recon-Port_Scan,Recon,Recon,True,B,B,20666,106603,Rate,0.6850470547706489,Srate,0.6850470547706489,0.508594443816262
Recon-Port_Scan,Recon-VulScan,Recon,Recon,True,B,B,106603,3207,Duration,0.7368364842625124,Radius,0.7326442808015955,0.5470023785332276
Recon-OS_Scan,Recon-VulScan,Recon,Recon,True,B,B,20666,3207,Radius,0.744208623042881,Std,0.744114569192627,0.5612813719420202
MQTT-Malformed_Data,Spoofing,MQTT,Spoofing,False,B,B,6877,17791,TCP,0.7846938423305119,UDP,0.7735510233058696,0.5281007281098606
Benign,Spoofing,Benign,Spoofing,False,B,B,230339,17791,Rate,0.8010225043985648,Srate,0.8010225043985648,0.5262874817703647
MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,MQTT,MQTT,True,B,B,52881,6877,psh_flag_number,0.8513784659159253,HTTPS,0.8206624921987793,0.531970048795527
Benign,MQTT-Malformed_Data,Benign,MQTT,False,B,B,230339,6877,Rate,0.8663793869521343,Srate,0.8663793869521343,0.5674155446879784
Recon-VulScan,Spoofing,Recon,Spoofing,False,B,B,3207,17791,Header_Length,0.8671243524555646,Min,0.8064897400238648,0.5567191341336981
MQTT-DoS-Publish_Flood,Spoofing,MQTT,Spoofing,False,B,B,52881,17791,psh_flag_number,0.8732781271089666,ack_flag_number,0.8054742012765352,0.5267470200555328
MQTT-DDoS-Publish_Flood,MQTT-Malformed_Data,MQTT,MQTT,True,B,B,36039,6877,fin_count,0.8752588800131026,rst_count,0.8245994980886939,0.5525927002246686
MQTT-DDoS-Publish_Flood,Spoofing,MQTT,Spoofing,False,B,B,36039,17791,fin_count,0.8930222699851252,rst_flag_number,0.8754175744156054,0.6194447572970637
DDoS-SYN,Recon-VulScan,DDoS,Recon,False,A,B,974359,3207,syn_count,0.9022117804892819,Max,0.8863508902809044,0.5917514081142667
MQTT-DDoS-Publish_Flood,Recon-VulScan,MQTT,Recon,False,B,B,36039,3207,Min,0.902889083373828,Tot sum,0.8728619083475145,0.6240520297654535
Benign,MQTT-DoS-Publish_Flood,Benign,MQTT,False,B,B,230339,52881,Rate,0.920831208088714,Srate,0.920831208088714,0.5515278601439163
DoS-TCP,Recon-VulScan,DoS,Recon,False,A,B,462480,3207,rst_count,0.922260941903649,Magnitue,0.9128958192048433,0.6462489678212667
DoS-SYN,Recon-OS_Scan,DoS,Recon,False,A,B,540498,20666,syn_count,0.923876950435074,fin_count,0.8903952457912208,0.510610683822672
MQTT-Malformed_Data,Recon-VulScan,MQTT,Recon,False,B,B,6877,3207,rst_count,0.928754756560543,ack_flag_number,0.8304437014076785,0.5571036760278689
DDoS-TCP,Recon-VulScan,DDoS,Recon,False,A,B,987063,3207,rst_count,0.9294068361772616,Magnitue,0.9179916654411695,0.6428301802280778
MQTT-DoS-Publish_Flood,Recon-VulScan,MQTT,Recon,False,B,B,52881,3207,rst_count,0.9329819657856262,Min,0.9047457615665255,0.6852682898450821
Recon-Ping_Sweep,Recon-VulScan,Recon,Recon,True,B,B,926,3207,Protocol Type,0.9354903993087476,Duration,0.9123973543295208,0.570873497566406
Benign,MQTT-DDoS-Publish_Flood,Benign,MQTT,False,B,B,230339,36039,Covariance,0.935876354992524,rst_count,0.9216579387759359,0.6719362997728009
Recon-OS_Scan,Recon-Ping_Sweep,Recon,Recon,True,B,B,20666,926,fin_count,0.936315248656039,TCP,0.9211173170987123,0.6614883530695653
DoS-SYN,Recon-VulScan,DoS,Recon,False,A,B,540498,3207,syn_count,0.939392963107394,syn_flag_number,0.855974840952755,0.6489232184877285
DDoS-SYN,Recon-Port_Scan,DDoS,Recon,False,A,B,974359,106603,rst_count,0.9396362467207295,fin_count,0.9386986144245253,0.5354372481225924
MQTT-Malformed_Data,Recon-OS_Scan,MQTT,Recon,False,B,B,6877,20666,Header_Length,0.9443544684979847,AVG,0.9432106751810064,0.586739448264602
DoS-SYN,Recon-Port_Scan,DoS,Recon,False,A,B,540498,106603,fin_count,0.944423674908494,syn_count,0.9346073928579833,0.5183654242793949
Benign,Recon-VulScan,Benign,Recon,False,B,B,230339,3207,rst_count,0.9470260562375267,psh_flag_number,0.8367546013337728,0.5389714409398451
MQTT-Malformed_Data,Recon-Ping_Sweep,MQTT,Recon,False,B,B,6877,926,Header_Length,0.9506886824363052,rst_count,0.9448421994496947,0.6744789106707147
DDoS-SYN,Recon-OS_Scan,DDoS,Recon,False,A,B,974359,20666,rst_count,0.9547131927293458,fin_count,0.8823536636934542,0.5229279253460699
MQTT-DDoS-Connect_Flood,MQTT-Malformed_Data,MQTT,MQTT,True,B,B,214952,6877,ack_count,0.9549552741806602,Header_Length,0.9440492442819783,0.6843605521477536
Recon-OS_Scan,Spoofing,Recon,Spoofing,False,B,B,20666,17791,Header_Length,0.9598770911231452,Magnitue,0.9592755103080461,0.6310028494775268
MQTT-DoS-Connect_Flood,MQTT-Malformed_Data,MQTT,MQTT,True,B,B,15904,6877,syn_count,0.9606542300187632,syn_flag_number,0.9499122982405118,0.6849983658494518
Recon-Port_Scan,Spoofing,Recon,Spoofing,False,B,B,106603,17791,fin_count,0.9660379368709179,Tot size,0.9533535829556594,0.6648856396860403
Benign,Recon-Port_Scan,Benign,Recon,False,B,B,230339,106603,fin_count,0.9668792806372474,rst_count,0.9542103675739156,0.6590682643009568
Recon-Ping_Sweep,Recon-Port_Scan,Recon,Recon,True,B,B,926,106603,fin_count,0.9675580896634935,ARP,0.916065519857705,0.651035110609723
