class,five highest-ranked features,attack pattern,category resolved,category documented for the class,agrees,thin
DDoS-ICMP,"UDP, Max, TCP, ack_flag_number, Std",CAPEC-298 · UDP Ping,Information Disclosure,Denial of Service,,
DDoS-SYN,"syn_count, syn_flag_number, ack_flag_number, rst_flag_number, TCP",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
DDoS-TCP,"TCP, Max, ICMP, UDP, Min",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
DDoS-UDP,"ack_flag_number, Max, syn_count, UDP, Std",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
DoS-ICMP,"UDP, Max, ack_flag_number, TCP, Std",CAPEC-298 · UDP Ping,Information Disclosure,Denial of Service,,
DoS-SYN,"syn_count, rst_flag_number, ack_flag_number, TCP, syn_flag_number",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
DoS-TCP,"Max, TCP, ICMP, Min, UDP",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
DoS-UDP,"ack_flag_number, UDP, Max, ICMP, syn_count",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
MQTT-DDoS-Connect_Flood,"syn_count, ack_count, fin_flag_number, ack_flag_number, Max",CAPEC-482 · TCP Flood,Denial of Service,Denial of Service,yes,
MQTT-DDoS-Publish_Flood,"ack_flag_number, Max, psh_flag_number, AVG, Tot size",CAPEC-125 · Flooding,Denial of Service,Denial of Service,yes,
MQTT-DoS-Connect_Flood,"syn_count, ack_flag_number, ack_count, fin_count, psh_flag_number",CAPEC-297 · TCP ACK Ping,Information Disclosure,Denial of Service,,
MQTT-DoS-Publish_Flood,"ack_flag_number, psh_flag_number, Max, AVG, Tot sum",CAPEC-297 · TCP ACK Ping,Information Disclosure,Denial of Service,,
Recon-OS_Scan,"Number, ack_flag_number, fin_count, rst_flag_number, SSH",CAPEC-125 · Flooding,Denial of Service,Information Disclosure,,
Recon-Ping_Sweep,"LLC, psh_flag_number, IPv, ack_flag_number, Number",CAPEC-303 · TCP Xmas Scan,Information Disclosure,Information Disclosure,yes,yes
Recon-Port_Scan,"Number, fin_count, rst_flag_number, ack_flag_number, TCP",CAPEC-125 · Flooding,Denial of Service,Information Disclosure,,
Recon-VulScan,"Number, ack_flag_number, psh_flag_number, syn_count, Std",CAPEC-125 · Flooding,Denial of Service,Information Disclosure,,yes
Spoofing,"Header_Length, Number, Max, AVG, ack_flag_number",CAPEC-125 · Flooding,Denial of Service,Spoofing,,
MQTT-Malformed_Data,"Number, ack_flag_number, syn_count, psh_flag_number, ack_count",CAPEC-297 · TCP ACK Ping,Information Disclosure,Tampering,,yes
