class,highest-ranked features,attack pattern,category resolved,category documented for the class,agrees,thin
DDoS-ICMP,"ICMP, Protocol Type, Tot size, AVG, Magnitue",CAPEC-285,Information Disclosure,Denial of Service,,
DDoS-SYN,"syn_count, syn_flag_number, rst_count, Protocol Type, AVG",CAPEC-482,Denial of Service,Denial of Service,yes,
DDoS-TCP,"Header_Length, syn_count, syn_flag_number, Protocol Type, AVG",CAPEC-482,Denial of Service,Denial of Service,yes,
DDoS-UDP,"Protocol Type, UDP, Header_Length, AVG, Min",CAPEC-298,Information Disclosure,Denial of Service,,
DoS-ICMP,"ICMP, Protocol Type, Magnitue, Min, TCP",CAPEC-285,Information Disclosure,Denial of Service,,
DoS-SYN,"rst_count, syn_count, syn_flag_number, AVG, Tot size",CAPEC-287,Information Disclosure,Denial of Service,,
DoS-TCP,"Header_Length, syn_count, syn_flag_number, Protocol Type, Tot size",CAPEC-482,Denial of Service,Denial of Service,yes,
DoS-UDP,"Header_Length, Protocol Type, UDP, ICMP, TCP",CAPEC-153,Tampering,Denial of Service,,
MQTT-DDoS-Connect_Flood,"fin_flag_number, ack_count, AVG, rst_count, Magnitue",CAPEC-125,Denial of Service,Denial of Service,yes,
MQTT-DDoS-Publish_Flood,"fin_count, syn_flag_number, rst_flag_number, psh_flag_number, ack_count",CAPEC-302,Information Disclosure,Denial of Service,,
MQTT-DoS-Connect_Flood,"fin_flag_number, syn_count, AVG, ack_count, psh_flag_number",CAPEC-302,Information Disclosure,Denial of Service,,
MQTT-DoS-Publish_Flood,"ack_flag_number, rst_count, AVG, Min, Magnitue",CAPEC-297,Information Disclosure,Denial of Service,,
Recon-OS_Scan,"fin_count, ack_flag_number, Tot sum, AVG, syn_count",CAPEC-125,Denial of Service,Information Disclosure,,
Recon-Ping_Sweep,"Protocol Type, Tot size, Min, Header_Length, TCP",CAPEC-125,Denial of Service,Information Disclosure,,yes
Recon-Port_Scan,"fin_count, rst_count, Tot sum, syn_count, AVG",CAPEC-302,Information Disclosure,Information Disclosure,yes,
Recon-VulScan,"syn_count, fin_count, Variance, rst_count, Std",CAPEC-287,Information Disclosure,Information Disclosure,yes,yes
Spoofing,"Header_Length, Magnitue, Variance, Min, AVG",CAPEC-153,Tampering,Spoofing,,
MQTT-Malformed_Data,"Tot sum, AVG, rst_count, Magnitue, Number",CAPEC-125,Denial of Service,Tampering,,yes
