class,mean rank agreement,lowest pair,highest pair,thin
DDoS-ICMP,0.145,0.0,0.4545,
DDoS-TCP,0.1712,-0.1795,0.3818,
MQTT-DDoS-Publish_Flood,0.2307,-0.1515,0.6,
DDoS-UDP,0.3033,0.1026,0.5152,
DoS-ICMP,0.3044,0.1429,0.5273,
DoS-TCP,0.3074,0.0549,0.6667,
DoS-UDP,0.3546,0.0303,0.6364,
Spoofing,0.3738,0.1818,0.6727,
Recon-OS_Scan,0.4481,0.2424,0.7333,
Recon-Ping_Sweep,0.5008,0.3636,0.7273,yes
Recon-VulScan,0.5111,0.3091,0.6667,yes
Recon-Port_Scan,0.5467,0.2364,0.7778,
DDoS-SYN,0.5665,0.2889,0.7818,
Benign,0.5878,0.359,0.7778,
MQTT-DoS-Publish_Flood,0.5964,0.4667,0.7333,
DoS-SYN,0.6182,0.4222,0.8182,
MQTT-Malformed_Data,0.6648,0.6,0.7576,yes
MQTT-DoS-Connect_Flood,0.7133,0.6061,0.8182,
MQTT-DDoS-Connect_Flood,0.72,0.6061,0.8545,
